,user_msg,expected_intent,expected_class,expected_attributes,expected_filter_attributes,processed_attributes,processed_filters,find_entity,find_intent
210,add an article with title='dome: a reference architecture',ADD,article,{'title': 'DoME: A Reference Architecture'},,"{'title': 'title', ""'"": 'dome'}",{},Dome__A_Reference_Architecture,ADD
211,show me article,READ,article,,,{},{},article,READ
212,update the article with id=8 setting the year=2015,UPDATE,article,{'year': '2015'},{'id': '8'},{'year': 'year'},{'id': 'id'},article,UPDATE
213,"update the article with id=8 setting name="""" and title=""advances in natural language processing""",UPDATE,article,"{'name': '', 'title': 'Advances in natural language processing'}",{'id': '8'},"{'setting': 'name=""', 'title': 'title', 'advances': 'advances', 'natural_language': 'natural language'}",{'id': 'id'},article,UPDATE
214,"update the article with id=8 setting title=""advances in natural language processing""",UPDATE,article,{'title': 'Advances in natural language processing'},{'id': '8'},"{'setting': 'title=""advances in natural language processing'}",{'id': 'id'},article,UPDATE
215,show me articles with year=2015,READ,article,{'year': '2015'},,"{'articles': 'articles', 'year': 'year'}",{},2015,READ
216,"update the article with id=8 setting the title=""advances in natural language processing""",UPDATE,article,{'title': 'Advances in natural language processing'},{'id': '8'},"{'title': 'title', 'advances': 'advances', 'natural_language': 'natural language'}",{'id': 'id'},article,UPDATE
217,show me articles where yaer=2015,READ,article,,,{'articles': 'articles'},{},yaer,READ
218,show me articles where year=2015,READ,article,{'year': '2015'},,"{'articles': 'articles', 'year': 'year'}",{},2015,READ
219,delete the attribute name  from article,DELETE,attribute,{'attribute': 'name'},,{'attribute': 'name'},{},article,DELETE
220,delete name from article,DELETE,article,{'name': 'article'},,{'name': 'name'},{},article,DELETE
221,"update the article with id=8 setting the name=""""",UPDATE,article,{'name': ''},{'id': '8'},{'name': 'name'},{'id': 'id'},article,UPDATE
222,"update the article with id=8 setting the name="" """,UPDATE,article,{'name': ' '},{'id': '8'},{'name': 'name'},{'id': 'id'},article,UPDATE
223,"update the article with id=8 setting the name=a""""",UPDATE,article,{'name': 'a'},{'id': '8'},{'name': 'name'},{'id': 'id'},article,UPDATE
224,update the article with id=8 setting the name=null,UPDATE,article,{'name': 'null'},{'id': '8'},{'name': 'name'},{'id': 'id'},article,UPDATE
225,update the article with id=8 deleting the name,UPDATE,article,{'name': ''},{'id': '8'},{'name': 'name'},{'id': 'id'},article,UPDATE
226,delete the article with id=9,DELETE,article,{'id': '9'},,{'id': 'id'},{},article,DELETE
227,"add a article with name ""experimental framework to simulate rescue operations after a natural disaster"" and keywords= experimental framework, simulation, benchmark",ADD,article,"{'name': 'Experimental Framework to Simulate Rescue Operations after a Natural Disaster', 'keywords': 'Experimental framework, Simulation, Benchmark'}",,"{'name': 'name', 'rescue': 'name', 'operations': 'operations', 'natural_disaster': 'natural disaster', 'keywords': 'name', 'experimental_framework': 'experimental framework', 'simulation': 'simulation', 'benchmark': 'simulation'}",{},experimental_framework,ADD
228,"update the article with name ""experimental framework, simulation, benchmark"" setting year=2020",UPDATE,article,{'year': '2020'},"{'name': 'Experimental framework, Simulation, Benchmark'}","{'experimental_framework': 'simulation', 'benchmark': 'simulation', 'year': 'year'}",{'article': 'name'},experimental_framework__simulation__benchmark,UPDATE
229,"update the article with name ""experimental framework to simulate rescue operations after a natural disaster"" setting year=2020",UPDATE,article,{'year': '2020'},{'name': 'Experimental framework to simulate rescue operations after a natural disaster'},{'setting': 'year=2020'},"{'name': 'name', 'experimental_framework': 'experimental framework', 'rescue': 'name', 'operations': 'operations', 'natural_disaster': 'natural disaster'}",experimental_framework_to_simulate_rescue_operations_after_a_natural_disaster,UPDATE
230,"update the article with name=""experimental framework to simulate rescue operations after a natural disaster"" setting year=2020",UPDATE,article,{'year': '2020'},{'name': 'Experimental framework to simulate rescue operations after a natural disaster'},{},None,experimental_framework,UPDATE
231,update the article with name=experimental framework to simulate rescue operations after a natural disaster setting the year=2020,UPDATE,article,{'year': '2020'},{'name': 'Experimental framework to simulate rescue operations after a natural disaster'},{'natural_disaster': 'year=2020'},"{'name': 'name', 'rescue': 'name', 'operations': 'operations'}",experimental_framework,UPDATE
232,"update the article with keywords ""experimental framework, simulation, benchmark"" setting the year=2020",UPDATE,article,{'year': '2020'},"{'keywords': 'Experimental framework, Simulation, Benchmark'}",{},None,year_2020,UPDATE
233,show me articles where year > 2013,READ,article,{'year': '2013'},,"{'articles': 'articles', 'year': 'year'}",{},2013,READ
234,show me articles where year != 2015,READ,article,{'year': '2015'},,"{'articles': 'articles', 'year': 'year'}",{},2015,READ
235,show articles with id > 6,READ,article,{'id': '6'},,{'id': 'id'},{},article,READ
236,show me articles with id=9,READ,article,{'id': '9'},,{'id': 'id'},{},article,READ
237,show me article where id > 6,READ,article,{'id': '6'},,{'id': 'id'},{},article,READ
238,show me article where id = 6,READ,article,{'id': '6'},,{'id': 'id'},{},article,READ
239,show me article where id=9,READ,article,{'id': '9'},,{'id': 'id'},{},article,READ
240,show me article where id=10,READ,article,{'id': '10'},,{'id': 'id'},{},article,READ
241,add city with name=fortaleza and state=ceará,ADD,city,"{'name': 'Fortaleza', 'state': 'Ceará'}",,"{'name': 'name', 'city': 'fortaleza'}",{},city,ADD
242,"add city with name=berlin, country=germany, population=3.645 million",ADD,city,"{'name': 'Berlin', 'country': 'Germany', 'population': '3.645 million'}",,"{'city': 'city', 'name': 'name', 'germany': 'berlin'}",{},germany,ADD
243,show me city,READ,city,,,{},{},city,READ
244,delete all cities,DELETE,city,,,{},{},city,DELETE
245,delete city where id=1 and id=2,DELETE,city,{'id': '1'},,{'id': 'id'},{},city,DELETE
246,delete city where id-2,DELETE,city,,,{'city': 'city'},{},city,DELETE
247,delete city where id=2,DELETE,city,{'id': '2'},,{'id': 'id'},{},city,DELETE
248,add city with name= teste and number=1,ADD,city,"{'name': 'teste', 'number': '1'}",,{'city': 'number'},{},teste,ADD
249,add city with name= teste and number=2,ADD,city,"{'name': 'teste', 'number': '2'}",,{'city': 'number=2'},{},teste,ADD
250,delete city where name=teste,DELETE,city,{'name': 'teste'},,"{'name': 'name', 'teste': 'name'}",{},city,DELETE
251,"delete city where name=""teste""",DELETE,city,{'name': 'teste'},,{'city': 'city'},{},city,DELETE
252,delete city where number=1,DELETE,city,{'number': '1'},,{'city': 'city'},{},city,DELETE
253,delete all city with name=teste,DELETE,city,{'name': 'teste'},,"{'name': 'name', 'teste': 'name'}",{},city,DELETE
254,"delete all city with name=""teste""",DELETE,city,{'name': 'teste'},,"{'name': 'name', 'teste': 'name'}",{},city,DELETE
255,delete all city where number=1,DELETE,city,{'number': '1'},,{'number': 'number'},{},city,DELETE
256,delete city where id=4,DELETE,city,{'id': '4'},,{'id': 'id'},{},city,DELETE
257,delete city where name=fortaleza,DELETE,city,{'name': 'Fortaleza'},,{'name': 'name'},{},city,DELETE
258,add city with name fortaleza and state=ceará,ADD,city,"{'name': 'Fortaleza', 'state': 'Ceará'}",,"{'name': 'name', 'city': 'fortaleza'}",{},city,ADD
259,"add city with name ""fortaleza"" and state=ceará",ADD,city,"{'name': 'Fortaleza', 'state': 'Ceará'}",,"{'name': 'name', 'city': 'fortaleza'}",{},city,ADD
260,delete city where state=ceará,DELETE,city,{'state': 'Ceará'},,{'city': 'city'},{},city,DELETE
261,"delete city where state=""ceará""",DELETE,city,{'state': 'Ceará'},,{'city': 'city'},{},city,DELETE
262,show pokemons,READ,pokemon,,,{},{},pokemon,READ
263,"delete city where name=""fortaleza""",DELETE,city,{'name': 'Fortaleza'},,{'city': 'city'},{},city,DELETE
264,show me pokemons,READ,pokemon,,,{},{},pokemon,READ
265,get city,READ,city,,,{},{},city,READ
266,"update a pokemon with name=""pikachu"" by setting evolve to=""raichu""",UPDATE,pokemon,{'evolve_to': 'Raichu'},{'name': 'Pikachu'},{'pokemon': 'pikachu'},{'name': 'name'},pokemon,UPDATE
267,delete city where id=8,DELETE,city,{'id': '8'},,{'city': 'city'},{},city,DELETE
268,"update a pokemon with name=""pikachu"" by setting evolvution =""raichu""",UPDATE,pokemon,{'evolvution': 'Raichu'},{'name': 'Pikachu'},{'pokemon': 'pikachu'},{'name': 'name'},pokemon,UPDATE
269,delete all city where name=fortaleza,DELETE,city,{'name': 'Fortaleza'},,"{'name': 'name', 'fortaleza': 'name'}",{},city,DELETE
270,"update a pokemon with name=""pikachu"" by setting evolution to=""raichu""",UPDATE,pokemon,{'evolution': 'Raichu'},{'name': 'Pikachu'},{'pokemon': 'pikachu'},{'name': 'name'},pokemon,UPDATE
271,view all pokemons,READ,pokemon,,,{},{},pokemon,READ
272,view the pokemon,READ,pokemon,,,{},{},pokemon,READ
273,"add article with title ""v-measure: a conditional entropy-based external cluster evaluation measure"", author ""v-measure: a conditional entropy-based external cluster evaluation measure"", co-author ""andrew rosenberg"" and year=2007",ADD,article,"{'title': 'V-measure: A conditional entropy-based external cluster evaluation measure', 'author': 'Andrew Rosenberg', 'year': '2007'}",,"{'title': 'v-measure: a conditional entropy-based external cluster evaluation measure', 'author': 'author', '2007': 'rosenberg'}",{},v_measure__a_conditional_entropy_based_external_cluster_evaluation_measure,ADD
274,"add article with title ""v-measure: a conditional entropy-based external cluster evaluation measure"", author=""julia hirschberg"", co-author=""andrew rosenberg"" and year=2007",ADD,article,"{'title': 'V-measure: A conditional entropy-based external cluster evaluation measure', 'author': 'JULIA HIRSCHBERG', 'co_author': 'Andrew Rosenberg', 'year': '2007'}",,"{'title': 'v-measure: a conditional entropy-based external cluster evaluation measure', 'author': 'author', 'v-measure': 'rosenberg'}",{},v_measure,ADD
275,"add an article with title=""v-measure: a conditional entropy-based external cluster evaluation measure"", author=""julia hirschberg"", co-author=""andrew rosenberg"" , year=2007",ADD,article,"{'title': 'V-measure: A conditional entropy-based external cluster evaluation measure', 'author': 'JULIA HIRSCHBERG', 'co_author': 'Andrew Rosenberg', 'year': '2007'}",,"{'title': 'v-measure: a conditional entropy-based external cluster evaluation measure', 'author': 'author', 'v-measure': 'rosenberg'}",{},v_measure,ADD
276,"add article with title ""v-measure: a conditional entropy-based external cluster evaluation measure"", author=""julia hirschberg""",ADD,article,"{'title': 'V-measure: A conditional entropy-based external cluster evaluation measure', 'author': 'JULIA HIRSCHBERG'}",,"{'title': 'v-measure: a conditional entropy-based external cluster evaluation measure', 'author': 'author'}",{},v_measure,ADD
277,"update the article where title=""v-measure: a conditional entropy-based external cluster evaluation measure"" setting  co-author=""andrew rosenberg""",UPDATE,article,{'co_author': 'Andrew Rosenberg'},{'title': 'V-measure: A conditional entropy-based external cluster evaluation measure'},"{'article': 'article', 'title': 'article', 'evaluation': 'evaluation', 'measure': 'evaluation', 'setting': 'evaluation', 'co_author': 'co-author'}",{'external_cluster': 'conditional entropy-based'},v_measure,UPDATE
278,"update article with id=11 setting co-author=""andrew rosenberg"" and year=2007",UPDATE,article,"{'co_author': 'Andrew Rosenberg', 'year': '2007'}",{'id': '11'},None,None,None,None
279,"update article where id=11 setting co-author=""andrew rosenberg""",UPDATE,article,{'co_author': 'Andrew Rosenberg'},{'id': '11'},None,None,None,None
280,"update the article with id=11 setting co-author=""andrew rosenberg"" and year=2007",UPDATE,article,"{'co_author': 'Andrew Rosenberg', 'year': '2007'}",{'id': '11'},"{'setting': 'setting', 'co_author': 'co-author', 'article': 'rosenberg'}",{'id': 'id'},article,UPDATE
281,"update the article with id=11 setting co-author=""andrew rosenberg""",UPDATE,article,{'co-author': 'ANDREW ROSENBERG'},{'id': '11'},"{'setting': 'co-author=""andrew rosenberg'}",{'id': 'id'},article,UPDATE
282,"update the article with id=11, setting coauthor=""andrew rosenberg""",UPDATE,article,{'coauthor': 'ANDREW ROSENBERG'},{'id': '11'},{'coauthor': 'andrew rosenberg'},{'id': 'id'},article,UPDATE
283,"update the article with author=""julia hirschberg"", setting the year=2007",UPDATE,article,{'year': '2007'},{'author': 'JULIA HIRSCHBERG'},"{'author': 'author', 'article': 'hirschberg'}",{},article,UPDATE
284,"update the article with id=11, setting the year=2007",UPDATE,article,{'year': '2007'},{'id': '11'},{'year': 'year'},{'id': 'id'},article,UPDATE
285,"delete all articles where author=""julia hirschberg""",DELETE,article,{'author': 'JULIA HIRSCHBERG'},,{'author': 'author'},{},article,DELETE
286,add a pokemon with name='squid',ADD,pokemon,{'name': 'Squid'},,"{'name': 'name', 'squid': 'name'}",{},pokemon,ADD
287,get all pokemons,READ,pokemon,,,{},{},pokemon,READ
288,get student with name=itamar,READ,student,{'name': 'Itamar'},,"{'student': 'student', 'name': 'name'}",{},i,READ
289,list all students,READ,student,,,{'students': 'students'},{},st_,READ
290,add an article with title='dome: a domesticated movie experiment',ADD,article,{'title': 'DoME: A Domesticated Movie Experiment'},,"{'title': 'title', ""'"": 'dome'}",{},a_domesticated_movie_experiment,ADD
291,"update the article with id=1, setting the year=3021",UPDATE,article,{'year': '3021'},{'id': '1'},{'year': 'year'},{'id': 'id'},article,UPDATE
292,show the model,READ,model,,,{'model': 'model'},{},e_model,READ
293,"update all articles with year=3021, setting the author='bill gates'",UPDATE,article,{'author': 'Bill Gates'},{'year': '3021'},{'author': 'author'},{'articles': 'year'},Articles,UPDATE
294,get articles when year=3021,READ,article,{'year': '3021'},,{'year': 'year'},{},article,READ
295,add student with name='bill' and lastname='gates',ADD,student,"{'name': 'Bill', 'lastname': 'Gates'}",,"{'student': 'student', 'name': 'name', 'gates': 'name'}",{},edward_gates,ADD
296,"add article with title=""dome: day of my enlightenment"" and publisher=""the matrix""",ADD,article,"{'title': 'DoME: Day of My Enlightenment', 'publisher': 'The Matrix'}",,"{'title': 'title', 'publisher': 'dome'}",{},publisher,ADD
297,add an article with title='dome: day of my enlightenment' and publisher='the matrix',ADD,article,"{'title': 'DoME: Day of My Enlightenment', 'publisher': 'The Matrix'}",,"{'title': 'title', ""'"": 'dome'}",{},e_book,ADD
298,add an article with title='dome: day of my enlightenment',ADD,article,{'title': 'DoME: Day of My Enlightenment'},,"{'title': 'title', ""'"": 'dome'}",{},e_book,ADD
299,"update article with id=2, setting publisher='the matrix'",UPDATE,article,{'publisher': 'The Matrix'},{'id': '2'},"{'publisher': 'publisher', 'matrix': 'publisher'}",{'id': 'id'},article,UPDATE
300,"update article with id=2, setting year=2222",UPDATE,article,{'year': '2222'},{'id': '2'},{'year': 'year'},{'id': 'id'},article,UPDATE
301,"update article with id=2, setting circulation=10000",UPDATE,article,{'circulation': '10000'},{'id': '2'},{'circulation': 'circulation'},{'id': 'id'},id_2,UPDATE
302,add student with name='daniel' and lastname='burns',ADD,student,"{'name': 'Daniel', 'lastname': 'Burns'}",,"{'student': 'student', 'name': 'name'}",{},daniel_burns,ADD
303,"add goblin with title='streaming services' and text='netflix, amazon prime, disney+, star+'",ADD,goblin,"{'title': 'Streaming services', 'text': 'Netflix, Amazon Prime, Disney+, Star+'}",,"{""'"": 'goblin'}",{},streaming_services,ADD
304,list my goblins,READ,goblins,,,{},{},goblins,READ
305,get goblins,READ,goblins,,,{},{},goblins,READ
306,get streamings,READ,streaming,,,{},{},Streamings,READ
307,add klingon with name='gowron',ADD,klingon,{'name': 'gowron'},,{'klingon': 'klingon'},{},klingon,ADD
308,kill all klingons,DELETE,klingon,,,{},{},klingons,DELETE
309,add equipment with name = 'engine' and sector = 'generators',ADD,equipment,"{'name': 'Engine', 'sector': 'Generators'}",,"{'equipment': 'engine', 'sector': 'sector', 'generators': 'generators'}",{},Engine,ADD
310,"add equipment with name = 'furnace', sector = 'metal shaping' and manager = 'anderson smith'",ADD,equipment,"{'name': 'Furnace', 'sector': 'Metal shaping', 'manager': 'Anderson Smith'}",,"{'name': 'name', 'furnace': 'name', 'sector': 'name', 'metal': 'metal', 'shaping': 'metal', 'manager': 'manager'}",{},metal_shaping,ADD
311,list equipment,READ,equipment,,,{'equipment': 'equipment'},{},tv,READ
312,"list equipment, filtering by name starting with 'en'",READ,equipment,{'name': 'En'},,None,None,None,None
313,"for the equipment with name = 'furnace', change manager to 'jane cooper'",UPDATE,equipment,{'manager': 'Jane Cooper'},{'name': 'Furnace'},{},None,jane_cooper,UPDATE
314,please delete equipment whose sector is 'generators',DELETE,equipment,{'sector': 'Generators'},,"{'sector': 'sector', 'generators': 'sector'}",{},equipment,DELETE
315,add person with name='chuck',ADD,person,{'name': 'chuck'},,"{'person': 'person', 'name': 'name'}",{},chuck,ADD
316,get all persons,READ,person,,,{},{},person,READ
317,get all person with name chuck,READ,person,{'name': 'chuck'},,"{'person': 'person', 'name': 'name'}",{},chuck,READ
318,add an article with title='quantum machine learning',ADD,article,{'title': 'Quantum Machine Learning'},,"{""'"": 'quantum'}",{},Quantum_machine_learning,ADD
319,"update the article with id=1, setting the year=2021.",UPDATE,article,{'year': '2021'},{'id': '1'},{'year': 'year'},{'id': 'id'},article,UPDATE
320,delete all articles with year=2021.,DELETE,article,{'year': '2021'},,{'year': 'year'},{},article,DELETE
321,add show with name=paul di'anno,ADD,show,"{'name': ""Paul Di'Anno""}",,{'name': 'name'},{},show,ADD
322,show me the results,READ,results,,,{'results': 'result'},{},a,READ
323,get all shows_,READ,show,,,{'shows': 'shows'},{},tv,READ
324,get the show_,READ,show,,,{'show': 'show'},{},adobe,READ
325,show me all shows_,READ,show,,,{'shows': 'shows'},{},tv,READ
326,show me all show_,READ,show,,,{'show': 'show'},{},a,READ
327,show me the shows_,READ,show,,,{'shows': 'shows_'},{},tv,READ
328,show shows_,READ,show,,,"{'show': 'show', 'shows': 'show'}",{},tv,DELETE
329,show students or whatever,READ,student,,,{'students': 'students'},{},e_mail,READ
330,add student joão daniel,ADD,student,{'name': 'João Daniel'},,{'student': 'student'},{},joo_daniel,ADD
331,show me all shows,READ,show,,,{'shows': 'shows'},{},tv,READ
332,add class with name=“estrutura de dados”,ADD,class,{'name': 'estrutura de dados'},,"{'class': 'class', 'name': 'name', 'estrutura': 'name', 'dados': 'dados'}",{},estrutura_de_dados,ADD
333,add student with name joão daniel,ADD,student,{'name': 'João Daniel'},,"{'student': 'student', 'name': 'name'}",{},joo_daniel,ADD
334,add class with name=‘estrutura de dados’,ADD,class,{'name': 'estrutura de dados'},,"{'class': 'class', 'name': 'name', 'estrutura': 'name', 'dados': 'dados'}",{},estructura_de_dados,ADD
335,add class with name=estrutura de dados,ADD,class,{'name': 'estrutura de dados'},,"{'class': 'class', 'name': 'name', 'estrutura': 'name', 'dados': 'dados'}",{},estrutura_de_dados,ADD
336,"add student with name = ""joão daniel""",ADD,student,{'name': 'João Daniel'},,"{'student': 'student', 'name': 'name'}",{},joo_daniel,ADD
337,add student with name = 'joão daniel',ADD,student,{'name': 'João Daniel'},,"{'student': 'student', 'name': 'name'}",{},joo_daniel,ADD
338,add student with name = 'joao daniel',ADD,student,{'name': 'Joao Daniel'},,"{'student': 'student', 'name': 'name'}",{},joao_daniel,ADD
339,add student with name=‘estrutura de dados’,ADD,student,{'name': 'estrutura de dados'},,"{'student': 'student', 'name': 'name', 'estrutura': 'name'}",{},dados,ADD
340,"plese, show students",READ,student,,,{'students': 'plese'},{},Plese,READ
341,would you please show students,READ,student,,,{'students': 'students'},{},e_mail,READ
342,would you please show me students,READ,student,,,{'students': 'students'},{},edmund,READ
343,would you please show me all students you have,READ,student,,,{'students': 'you have'},{},st_,READ
344,delete a show with name=paul dianno,DELETE,show,{'name': 'Paul DiAnno'},,{'name': 'name'},{},show,DELETE
345,include student with name=alinson,ADD,student,{'name': 'Alinson'},,"{'student': 'student', 'name': 'name'}",{},alumnus,ADD
346,show me shows,READ,show,,,{'shows': 'shows'},{},show_me_shows,READ
347,add a show with name = paul di'anno and date = 01/27/2023,ADD,show,"{'name': ""Paul Di'Anno"", 'date': '01/27/2023'}",,"{'name': 'name', 'show': 'anno'}",{},show,ADD
348,"update the article with id=4, setting the email=alinson.donato@gmail.com",UPDATE,article,{'email': 'alinson.donato@gmail.com'},{'id': '4'},"{'email': 'email', '_': ''}",{'id': 'id'},article,UPDATE
349,get student with id=4,READ,student,{'id': '4'},,{'student': 'student'},{},id,READ
350,"add show with name = renegados, and date = 01/28/2023 and place = centro cultural bnb",ADD,show,"{'name': 'Renegados', 'date': '01/28/2023', 'place': 'Centro Cultural BNB'}",,"{'show': 'show', 'name': 'name', 'date': 'date', 'place': 'place'}",{},renegados,ADD
351,get student with email=alinson.donato@gmail.com,READ,student,{'email': 'alinson.donato@gmail.com'},,"{'student': 'student', 'email': 'email', '_': ''}",{},e_mail,READ
352,"update the student with id=4, setting the email=alinson.donato@gmail.com",UPDATE,student,{'email': 'alinson.donato@gmail.com'},{'id': '4'},"{'student': 'student', 'id': 'id'}","{'email': 'email', '_': ''}",e_mail,UPDATE
353,"add show with name = metallica, and date = 02/30/2023 and place = castelao",ADD,show,"{'name': 'Metallica', 'date': '02/30/2023', 'place': 'Castelao'}",,"{'show': 'name', 'metallica': 'metallica'}",{},metallica,ADD
354,add student with name=donato,ADD,student,{'name': 'Donato'},,"{'student': 'student', 'name': 'name', 'donato': 'name'}",{},adolescent,ADD
355,"add student with name=donato, email=alinson.donato@prf.gov.br",ADD,student,"{'name': 'Donato', 'email': 'alinson.donato@prf.gov.br'}",,"{'student': 'student', 'name': 'name', 'donato': 'name', 'email': 'name', '_': ''}",{},e_mail,ADD
356,delete the student with email=alinson.donato@prf.gov.br,DELETE,student,{'email': 'alinson.donato@prf.gov.br'},,"{'email': 'email', '_': ''}",{},student,DELETE
357,update the student with name=alinson with name=alinson donato,UPDATE,student,{'name': 'Alinson Donato'},{'name': 'Alinson'},{},None,alanson_donato,UPDATE
358,"create student with name="" or 1=1); drop table students; --""",ADD,student,"{'name': 'or 1=1)', 'table': 'STUDENTS'}",,"{'student': 'student', 'students': 'students'}",{},table_students,ADD
359,"update a show with name metallica, replace date with 10/22/2024",UPDATE,show,{'date': '10/22/2024'},{'name': 'metallica'},"{'show': 'show', 'name': 'name', 'metallica': 'metallica'}",{},metallica,UPDATE
360,get all shows,READ,show,,,{'shows': 'shows'},{},tv,READ
361,"create student with name="" or 1=1}; drop table students; --""",ADD,student,"{'name': '1=1', 'table': 'STUDENTS'}",,"{'student': 'student', 'students': 'students'}",{},table_students,ADD
362,"create student with name=""' or 1=1; drop table students; --""",ADD,student,"{'name': '1=1', 'table': 'STUDENTS'}",,"{'student': 'student', 'students': 'students'}",{},table_students,ADD
363,"create student with name=""' or 1=1; drop table student; --""",ADD,student,"{'name': '1=1', 'table': 'STUDENT'}",,{'student': 'student'},{},table_student,ADD
364,"add an article with title='experimental framework, simulation, benchmark'",ADD,article,"{'title': 'Experimental framework, Simulation, Benchmark'}",,"{'simulation': 'simulation', 'benchmark': 'simulation'}",{},experimental_framework,ADD
365,create student with name=' or 1=1; drop table students; --',ADD,student,"{'name': '1=1', 'table': 'STUDENTS'}",,"{'student': 'student', 'students': 'students'}",{},table_students,ADD
366,"update the article with id=1, setting the
year=2020",UPDATE,article,{'year': '2020'},{'id': '1'},{'year': 'year'},{'id': 'id'},article,UPDATE
367,"update the article with id=2, setting the
author='zé das couves'",UPDATE,article,{'author': 'Zé das Couves'},{'id': '2'},"{'author': 'author', 'article': 'ze'}",{'id': 'id'},article,UPDATE
368,"update the article with id=3, setting the
year=2020",UPDATE,article,{'year': '2020'},{'id': '3'},{'year': 'year'},{'id': 'id'},article,UPDATE
369,"create student with name=""robert'); drop table students; --""",ADD,student,"{'name': 'Robert', 'table': 'STUDENTS'}",,"{'student': 'student', 'students': 'students'}",{},table_students,ADD
370,"create student with name=""robert' and 1=1); drop table students; --""",ADD,student,"{'name': 'Robert', 'table': 'STUDENTS'}",,"{'student': 'student', 'students': 'students'}",{},table_students,ADD
371,"create student with email=""alinson.donato@gmail.com' and 1=1); drop table students; --""",ADD,student,"{'email': 'alinson.donato@gmail.com', 'table': 'STUDENTS'}",,"{'student': 'student', 'students': 'students'}",{},drop_table_students,ADD
372,"create student with email=""alinson.donato@gmail.com' and 1=1); drop database managedsys_web; --""",ADD,student,"{'email': 'alinson.donato@gmail.com', 'database': 'MANAGEDSYS_WEB'}",,"{'student': 'student', '_': '', 'managedsys_web': 'com'}",{},managedsys_web,ADD
373,create student with email=amg@gmail.com,ADD,student,{'email': 'amg@gmail.com'},,"{'student': 'student', 'email': 'email', '_': ''}",{},e_mail,ADD
374,show tables,READ,tables,,,None,None,None,None
376,add sku with name='john doe',ADD,sku,{'name': 'John Doe'},,{'name': 'name'},{},sku,ADD
377,show skus,READ,sku,,,{'show': 'show'},{},sku,DELETE
378,add elf with name='galadriel' and type='forest',ADD,elf,"{'name': 'Galadriel', 'type': 'Forest'}",,"{'elf': 'elf', 'name': 'name', 'forest': 'galadriel'}",{},forest,ADD
379,"add elf with name='galadriel', type='forest', age='1247', ringtype='water' and power='perception'",ADD,elf,"{'name': 'Galadriel', 'type': 'Forest', 'age': '1247', 'ringtype': 'Water', 'power': 'Perception'}",,"{'name': 'name', 'elf': 'galadriel'}",{},elf,ADD
380,"add elf with name='galadriel', type='forest', age='1247', ringtype='water', power='perception'",ADD,elf,"{'name': 'Galadriel', 'type': 'Forest', 'age': '1247', 'ringtype': 'Water', 'power': 'Perception'}",,"{'name': 'name', 'elf': 'galadriel'}",{},elf,ADD
381,"add elf with name='galadriel', type='forest', age='1247', power='perception'",ADD,elf,"{'name': 'Galadriel', 'type': 'Forest', 'age': '1247', 'power': 'Perception'}",,"{'name': 'name', 'elf': 'galadriel'}",{},elf,ADD
382,"add elf with name='galadriel', type='forest', age='1247', ring type='water' and power='perception'",ADD,elf,"{'name': 'Galadriel', 'type': 'Forest', 'age': '1247', 'ring': ""type='Water' and power='Perception""}",,"{'name': 'name', 'elf': 'galadriel'}",{},elf,ADD
383,"add elf with name=galadriel, type=forest, age=1247, ringtype=water and power=perception",ADD,elf,"{'name': 'Galadriel', 'type': 'Forest', 'age': '1247', 'ringtype': 'Water', 'power': 'Perception'}",,"{'name': 'name', 'galadriel': 'name', 'type': 'type', 'water': 'name', 'power': 'name', 'perception': 'perception'}",{},elf,ADD
384,get student with name=eliakim',READ,student,{'name': 'Eliakim'},,"{'student': 'student', 'name': 'name'}",{},eliakim,READ
385,include student with name=anderson,ADD,student,{'name': 'Anderson'},,"{'student': 'student', 'name': 'name'}",{},anderson,ADD
386,include student with name=eliakim,ADD,student,{'name': 'Eliakim'},,"{'student': 'student', 'name': 'name'}",{},eliakim,ADD
387,list students,READ,student,,,{'students': 'students'},{},academies,READ
388,add an article with title = 'análise sobre a ausência de aula prática no ensino da disciplina de ciências biológicas',ADD,article,{'title': 'análise sobre a ausência de aula prática no ensino da disciplina de ciências biológicas'},,{'title': 'análise sobre a ausência de aula prática no'},{},ci_ncias_biol_gicas,ADD
389,add an article with title = 'crop: linking code reviews to source code changes',ADD,article,{'title': 'CROP: Linking Code Reviews to Source Code Changes'},,"{'article': 'title', 'crop': 'article', 'code': 'code', 'changes': 'changes'}",{},crop__linking_code_reviews_to_source_code_changes,ADD
390,"update the article with id=4, setting the year=2018",UPDATE,article,{'year': '2018'},{'id': '4'},{'year': 'year'},{'id': 'id'},article,UPDATE
391,delete all articles with year=2018.,DELETE,article,{'year': '2018'},,{'year': 'year'},{},article,DELETE
392,add an article with title = 'dealing with iot defiant components',ADD,article,{'title': 'Dealing with IoT Defiant Components'},,"{""'"": 'defiant'}",{},iot_defiant_components,ADD
393,"update the article with id=1, setting the year=2020",UPDATE,article,{'year': '2020'},{'id': '1'},{'year': 'year'},{'id': 'id'},article,UPDATE
394,"update the article with id=5, setting the author='adrilene fonseca'",UPDATE,article,{'author': 'Adrilene Fonseca'},{'id': '5'},{'author': 'author'},{'id': 'id'},article,UPDATE
395,delete all articles with author=zé das couves,DELETE,article,{'author': 'Zé das Couves'},,"{'author': 'author', 'couves': 'author'}",{},article,DELETE
